period,Polyester_yarn_price,PTA_price,MEG_price,hs61_vietnam_ExpPrice,hs62_vietnam_ExpPrice,hs61_china_ExpPrice,hs62_china_ExpPrice,hs61_india_ExpPrice,hs62_india_ExpPrice,hs61_indonesia_ExpPrice,hs62_indonesia_ExpPrice,hs61_cambodia_ExpPrice,hs62_cambodia_ExpPrice,Global Price of Cotton (US Cents/lb),usd2vnd_exchange_monthly_avg_rate,brent_oil_price_monthly_avg_rate,Global_clothing_export
201809,2.1377414104707895,0.8224152346713476,1.0365156411494045,1198257812.451,1298292570.436,8014655433.0,6672445420.0,602094541.736,502523136.046,356413281.2,357802657.55,4874391.0,9896161.0,90.355,23298.85,79.163,19017255404.419003
201810,2.1377414103506465,0.822415234694835,1.0365156412284704,1187321416.912,1323296042.187,6386789033.0,5852854643.0,619696132.693,512626730.932,322936434.0,357306322.6,3599764.0,9858927.0,86.8,23328.434782608696,80.7834782608696,16576285446.324
201811,2.1377414103234944,0.8224152346832505,1.0365156411630403,1152826318.033,1163437815.783,5806245474.0,5626990329.0,588731050.046,542512974.344,318650981.64,362890835.22,3916495.0,12113646.0,86.775,23318.75,66.2286363636364,15578315919.065998
201812,2.137741410338418,0.8224152346919403,1.036515641153551,1288304487.023,1263116845.008,5939111840.0,6154060984.0,698945494.737,677759685.105,344020730.09,397381048.1,5630731.0,10197934.0,85.9973684210526,23280.473684210527,57.9480952380952,16778529779.063
201901,1.908157476839337,0.857435827207699,0.7141994765065015,1482827926.616,1551972936.979,6262664887.0,6305420138.0,704533252.136,823252085.838,359132560.021,417863755.432,5226156.95,13575352.21,82.3545454545454,23187.777777777777,59.9447826086956,17926469051.182
201902,1.9081574767102785,0.8574358271929748,0.7141994765094526,586978870.679,570095524.17,3218915128.0,3349833260.0,662897838.896,883716183.18,307903443.125,368343608.857,4716386.66,11594275.59,81.15,23193.88888888889,64.384,9964994519.157
201903,1.9081574767178424,0.8574358272123752,0.7141994765073348,1128678520.251,1158423049.762,3961331445.0,3926159836.0,747943796.904,970477856.41,320176347.06,369160209.205,4451947.17,13206012.25,83.8095238095238,23192.5,66.9419047619048,12600009020.012
201904,1.9081574766604776,0.8574358271980116,0.7141994765103558,1096395616.229,1024831104.587,4497214626.0,4284681199.0,611474968.235,797240889.809,271805186.194,328077145.222,4378450.93,8263527.77,87.2475,23158.272727272728,71.4759090909091,12924362713.976002
201905,1.908157476727663,0.8574358272070657,0.714199476509666,1267859193.954,1214355127.633,5892212102.0,5299968976.0,719505116.145,810540834.099,362428746.273,418890236.563,6558410.91,12293814.48,80.1380952380952,23256.130434782608,70.3891304347826,16004612558.057001
201906,1.9081574766845997,0.8574358272033954,0.7141994764848653,1302102531.767,1356115500.14,6731567817.0,6426275517.0,619905490.721,613587555.83,234255706.597,271135357.341,5910500.66,11983524.39,77.65,23323.75,63.2085,17572839501.446
201907,1.908157476654033,0.8574358271937593,0.71419947648603,1449073274.482,1608679662.405,7882353716.0,7486571079.0,711267851.578,654460816.909,356199632.199,459753834.716,5950287.0,11986745.22,75.5391304347826,23288.34782608696,64.3221739130435,20626296899.509003
201908,1.9081574767652831,0.8574358271995428,0.7141994765168206,1491291181.874,1622007000.07,7795197044.0,6676496761.0,673367880.773,588523982.989,353024672.737,418606143.345,6398167.74,13450971.33,70.7761904761905,23222.045454545456,59.6181818181818,19638363805.858
201909,1.908157476539851,0.8574358272078755,0.7141994765098273,1272299757.101,1351599582.403,7232168177.0,6160048109.0,591787751.259,488834119.459,322002274.709,340267714.968,4252757.56,11791074.62,71.3119047619048,23213.47619047619,62.4309523809524,17775051318.079
